"Title","OriginalTitle","Type","SR_HR_Audio","AudioCategory","BCS_Audio_Languages","SR_HR_Subtitles","Genres","WatchURL"
"Thomas & Friends: The Mystery of Lookout Mountain","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/345f3265-aa4d-4799-927a-6d4f3fb54eeb"
"Tiny Toons Looniversity","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/d73b7037-4155-40bc-8db5-74fb42bebb3a"
"Tom and Jerry in New York","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/e54d023e-55ad-4c1a-9b16-319a41cb6a4f"
"Totally Spies!","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/ad84a36c-c50d-4494-9c47-5e0bef4e310c"
"Trolls","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family, comedy","https://play.hbomax.com/movie/c0b33a85-4335-4104-a464-9d10d8fcfbee"
"Trolls Band Together","","movie","yes","dub","Serbian (Cyrillic)","yes","family, comedy","https://play.hbomax.com/movie/52f48d74-ced0-4060-b398-8de3ced480f6"
"Trolls World Tour","","movie","yes","dub","Serbian (Cyrillic); Croatian","yes","family, comedy","https://play.hbomax.com/movie/51c5adc7-adc6-42ca-a65d-b04f4a9216da"
"We Baby Bears","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/017e5272-38aa-44fb-bb92-14f246916643"
"We Bare Bears","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/d93e40b9-21c1-48e3-a0c8-28dfb2eaa9f1"
"We Bare Bears: The Movie","","movie","yes","dub","Croatian","no","family, comedy","https://play.hbomax.com/movie/4b69dd83-46fb-4d97-b51d-d871afb78386"
"""Wuthering Heights""","","movie","no","","","yes","romance, drama, european","https://play.hbomax.com/movie/a0e6f4e3-0462-4fef-88b5-ff68036d3998"
"""Wuthering Heights"" (with ASL)","","movie","no","","","yes","romance, drama","https://play.hbomax.com/movie/40dfd8d2-a8eb-42a4-aca1-7d44a9abf83f"
"#BringBackAlice","","series","no","","","yes","european, drama","https://play.hbomax.com/show/bf045a44-5c27-47d9-8815-d94006edbc61"
"1 Girl Infinite","","movie","no","","","yes","drama","https://play.hbomax.com/movie/176f9c51-bfce-4ed1-8053-dbe42b2557ba"
"100 Day Dream Home","","series","no","","","yes","food-home","https://play.hbomax.com/show/13858956-7bce-4fcf-90e7-b5743de71427"
"100 Days Wild","","series","no","","","yes","adventure-survival","https://play.hbomax.com/show/bd72ab33-a15f-4f1d-b1a3-c4bbebea736c"
"100 Foot Wave","","series","no","","","yes","sports, documentaries","https://play.hbomax.com/show/34e489ad-2eca-4078-adb6-6d2b521b407e"
"100 Years of Warner Bros.","","series","no","","","yes","documentaries","https://play.hbomax.com/show/a42f0ac9-7799-4691-897d-27bca7c97c28"
"1000-lb Best Friends","","series","no","","","yes","reality","https://play.hbomax.com/show/7e416da7-c52e-41fe-8a61-10df6d37385f"
"1000-lb Roomies","","series","no","","","yes","reality","https://play.hbomax.com/show/af9e24b8-65f8-4515-88a9-2c6b1874e874"
"1000-lb Sisters","","series","no","","","yes","reality","https://play.hbomax.com/show/08ebaa74-41f1-41d8-9273-fdd7a7e8994c"
"1000% Me: Growing Up Mixed","","movie","no","","","yes","documentary","https://play.hbomax.com/movie/4328f1cc-ef10-4ea6-817a-182030b1007c"
"11 Shots","","series","no","","","yes","crime, documentaries, european","https://play.hbomax.com/show/df8bc584-b2f9-44f2-8d7f-e29de09a36bd"
"12th & Delaware","","movie","no","","","yes","documentary","https://play.hbomax.com/movie/a5e710e8-884b-478c-9b9f-c4e9b771b7a3"
"15 Minutes of Shame","","movie","no","","","yes","documentary","https://play.hbomax.com/movie/947a228c-f675-4ea2-b479-f6c5055dc17a"
"15 Years","","movie","no","","","yes","drama, european","https://play.hbomax.com/movie/d9f5760f-4519-42f4-b679-0afbc1372f9a"
"2 Dope Queens","","series","no","","","yes","comedy","https://play.hbomax.com/show/837a88c6-0361-41dd-8d3c-da2ebb051b00"
"2012","","movie","no","","","yes","action, fantasy","https://play.hbomax.com/movie/78415642-c904-4883-9007-12d895741b04"
"21 Jump Street","","movie","no","","","yes","action, comedy","https://play.hbomax.com/movie/67fd63cf-e247-45c2-8932-07fd2a745a36"
"22 Jump Street","","movie","no","","","yes","action, comedy","https://play.hbomax.com/movie/8278df88-4b15-4e17-a1ed-fd3fe459712d"
"28 Days Later","","movie","no","","","yes","horror, fantasy, european","https://play.hbomax.com/movie/058dd1e2-66b7-4637-aa80-e1cf99d3499d"
"28 Weeks Later","","movie","no","","","yes","horror, fantasy, european","https://play.hbomax.com/movie/b7b66574-c6e3-4ed3-a266-6bc44180252e"
"28 Years Later","","movie","no","","","yes","horror, fantasy","https://play.hbomax.com/movie/da8e6bbe-e81f-46ea-93a5-d0dfc81b252f"
"30 Coins","","series","no","","","yes","paranormal, european","https://play.hbomax.com/show/104eacfa-719d-489f-8b41-1882ba4d9be3"
"30 Days of Night","","movie","no","","","yes","horror","https://play.hbomax.com/movie/070e3f3d-651f-4e8b-87d0-e79e7bba82ac"
"33 Photos from the Ghetto","","movie","no","","","yes","documentary","https://play.hbomax.com/movie/020b4de1-890b-4f1e-aea1-8c974969dbd5"
"38 at the Garden","","movie","no","","","yes","documentary, sports","https://play.hbomax.com/movie/57ad4b71-5e0f-4bc2-9526-70e19c07d162"
"4 Blocks","","series","no","","","yes","crime, european, drama","https://play.hbomax.com/show/3aa3e7b9-a220-4ea1-b0ec-b401aa3c9202"
"4 Little Girls","","movie","no","","","yes","documentary","https://play.hbomax.com/movie/4531136a-91fb-4605-9c42-f29ffcc68c0f"
"5 American Handguns - 5 American Kids","","movie","no","","","yes","crime, documentary","https://play.hbomax.com/movie/6b7b2727-f1dc-4cb0-86ef-5b3e9502a41f"
"50 Children: The Rescue Mission of Mr. & Mrs. Kraus","","movie","no","","","yes","documentary","https://play.hbomax.com/movie/2f3b3ba6-cdb6-4d0a-86f2-9694b0f2b147"
"50 First Dates","","movie","no","","","yes","romance, comedy","https://play.hbomax.com/movie/77854307-d2cb-446c-8831-5c9af87813d9"
"61*","","movie","no","","","yes","drama, sports","https://play.hbomax.com/movie/dc2250d1-8d9b-4945-a694-348893344390"
"7 Little Johnstons","","series","no","","","yes","reality","https://play.hbomax.com/show/83dc8ded-d67b-4edd-830c-23da3ef0bd2e"
"8","","movie","no","","","yes","drama, european","https://play.hbomax.com/movie/d8cc35f2-1457-4a02-bd60-2f934be09bc1"
"90 Day Diaries","","series","no","","","yes","reality","https://play.hbomax.com/show/a852baef-6f66-465e-a86b-bacd3c7ec9f5"
